	afr_Latn	arb_Arab	bak_Cyrl	bel_Cyrl	ben_Beng	bul_Cyrl	chv_Cyrl	cmn_Hani	dan_Latn	deu_Latn	ell_Grek	eng_Latn	eus_Latn	fin_Latn	fra_Latn	heb_Hebr	hin_Deva	hun_Latn	hye_Armn	ind_Latn	ita_Latn	jpn_Jpan	kat_Geor	kaz_Cyrl	kir_Cyrl	kor_Hang	lav_Latn	lit_Latn	mal_Mlym	mar_Deva	mya_Mymr	nld_Latn	oss_Cyrl	pes_Arab	pol_Latn	por_Latn	ron_Latn	rus_Cyrl	sah_Cyrl	spa_Latn	swe_Latn	swh_Latn	tam_Taml	tat_Cyrl	tel_Telu	tgk_Cyrl	tgl_Latn	tha_Thai	tuk_Latn	tur_Latn	tyv_Cyrl	ukr_Cyrl	urd_Arab	vie_Latn	yor_Latn	zsm_Latn
afr_Latn		0.9137887702399996	0.9296324292799998	0.9786646655400001	0.9274911391199999	0.9812482236199993	0.9424860849600007	0.97257565392	0.9823173442399997	0.9810755597599997	0.9609451106200007	0.9794981025399994	0.9783472936799994	0.9811496513600007	0.9824873002199991	0.8979335794600009	0.94590023712	0.9821430370400002	0.82907411102	0.9821419044800006	0.9795201372799996	0.9790795732799993	0.9739299204	0.9409432261200007	0.9612756256599999	0.97984707948	0.9807707078599996	0.9817800271600008	0.8975931179800003	0.9301090100800006	0.8760836961199995	0.9833329860200006	0.9239520995199999	0.9793350436999996	0.9822620687399991	0.9792194726	0.9754842131199997	0.9803558061200002	0.945480304739999	0.9796789035999997	0.9799297841199999	0.9782763300599995	0.8946183710599992	0.9529900622200005	0.9230295860999991	0.9706943232200002	0.9767649412200013	0.9383332490399999	0.97797290226	0.9777864442799992	0.9417360578200008	0.9794859956599995	0.9760973332000001	0.9801428679199989	0.9489514882800002	0.9834858470400007
arb_Arab	0.9137887702399996		0.936148367100001	0.9321810876800003	0.9426310563199999	0.9111556185599997	0.9311801486999991	0.9124586730200005	0.8976004078600001	0.8907420302600002	0.9349543487600006	0.8853353949200007	0.9116846780799993	0.9054146245799995	0.8982352621400005	0.9229996721600001	0.9446747046999997	0.9072788994600004	0.9003077175600006	0.9149163905200003	0.8950475247999998	0.9046807702200005	0.9271951058999991	0.9400572294999988	0.9384366805199993	0.9164948586599999	0.9193889139800012	0.9196489756799996	0.9292973579199999	0.9402204453599996	0.9242575231200002	0.8956598436399998	0.9335851292200013	0.9198482365799996	0.8991507072599998	0.8986242955800003	0.9331958396600004	0.8971186124200005	0.9307339959999996	0.89411182886	0.8934353889200001	0.9197728344000006	0.9316672472999992	0.940017694860001	0.9388482520199996	0.9395622940799991	0.92085525498	0.9395072112599993	0.9194091821600001	0.89975252628	0.9387382029799991	0.9248690352400007	0.936655493520001	0.9093743939200007	0.931181178339999	0.9133038604000002
bak_Cyrl	0.9296324292799998	0.936148367100001		0.9516363596199994	0.9620920885400003	0.9258356766000002	0.9683188455800005	0.9244918148799998	0.9120057560999992	0.90399814802	0.9484419290000001	0.8985592573200003	0.9298404486400006	0.9208569975599994	0.9126243479400002	0.9211536557199993	0.9642532498200006	0.9233014970400003	0.9263728549400007	0.9288701136400002	0.9089225508000008	0.9204016930399989	0.9458543300600006	0.9805789996600002	0.9735570682600004	0.9340130085599997	0.9380388023799994	0.93636419858	0.9497112931999998	0.9629491692600001	0.9419693767800004	0.9102349432000002	0.9678029999000005	0.9301652905799995	0.9137510663000009	0.9106173567400005	0.9503513742599998	0.9118851942199997	0.9698888405000005	0.9071669645000006	0.9088293489400001	0.9361439057800006	0.9521500893199999	0.9856718474799995	0.9610066931600005	0.9635869204600002	0.9366929683800007	0.9569464484600001	0.944208917020001	0.9199967173999994	0.9777088593000007	0.9409890222199998	0.9472420691600001	0.9228158035400001	0.95135649336	0.9271056038799991
bel_Cyrl	0.9786646655400001	0.9321810876800003	0.9516363596199994		0.9486548320800007	0.9823805079400002	0.9593984522199993	0.9733722922200014	0.9766553789399998	0.9725095343999992	0.9729894860999997	0.96962157414	0.9779831128800001	0.9779527119999996	0.9773353755800002	0.9149962838199991	0.9624372467600002	0.9800796594199995	0.8645352480600005	0.9798452133399999	0.9736463066800007	0.9752800766600004	0.9814020878000006	0.9597938439399998	0.97568267956	0.97943770484	0.9857200418400003	0.9859460198199997	0.9213405503600001	0.9493952508199992	0.9013150282600007	0.9744251675399996	0.9455381667999996	0.9790637476800006	0.9796057274199994	0.9745045324599989	0.9824091990399996	0.9794838928000001	0.9609677394000004	0.9731555156999998	0.9735278186800002	0.9799531051400003	0.9205139865399996	0.9704400538799998	0.944928111520001	0.9829364040600002	0.9770732409999997	0.9557771544399999	0.9786155131600011	0.9746649990799994	0.9604141029799989	0.98949513696	0.9805524672600009	0.9779454577599995	0.9597817195800007	0.9802754183799998
ben_Beng	0.9274911391199999	0.9426310563199999	0.9620920885400003	0.9486548320800007		0.9241267691600007	0.9524481858200003	0.9245886832200004	0.9090728120200008	0.9004394646999997	0.9488411668200002	0.8939415756399995	0.9270104997999994	0.9176818146800009	0.9090749299199992	0.9226499417599994	0.9799661465799999	0.9214537378999994	0.9385332403000005	0.9282483355800002	0.9051358000000004	0.9185700274000003	0.9451700086400002	0.9671222277000001	0.9630974947600001	0.9334272455999993	0.9361061584799988	0.9339826214599999	0.96830070658	0.9781404200399992	0.9549808316000002	0.9058240599000005	0.9545402244999998	0.9304385401200004	0.9102114821400006	0.9080020943600003	0.9500991424399999	0.9072675117999998	0.9543558179999996	0.9030876193600006	0.9048217758000012	0.93549166468	0.9698437133600009	0.9653003098399993	0.9765528166799998	0.9589835431399999	0.9350915634600009	0.9653238787000006	0.9342690650000002	0.9157771195800005	0.965574953599999	0.9385073807000006	0.9518893523400003	0.9209472370200006	0.9459724248000004	0.9257684519400001
bul_Cyrl	0.9812482236199993	0.9111556185599997	0.9258356766000002	0.9823805079400002	0.9241267691600007		0.9398887664200006	0.9750454605799995	0.9846632442800005	0.9837207949600005	0.9622412034399993	0.9823675605000006	0.9787097038799997	0.9833832565199998	0.9860184064599999	0.8971815356599999	0.942641023840001	0.9844820100000006	0.8212283212400003	0.9840512633399994	0.9830024352199995	0.9812050639799997	0.9760334540800011	0.9371439319599998	0.9604913392999994	0.9811926004400002	0.98250841168	0.9839892533800008	0.89203629678	0.9257838562799998	0.8673397337	0.98329350408	0.9204907529200002	0.98234785016	0.9860139652200007	0.9841723101599998	0.9762197772600004	0.9873421620400006	0.9434739986800001	0.9837994293399999	0.9827280172599999	0.9796626484400006	0.8894722061200002	0.9510803694599999	0.9194165374400006	0.9714490245999999	0.975238502580001	0.9354243119200001	0.9777382257399996	0.9807376161000004	0.9384709959399994	0.9834206120200014	0.9761880544600009	0.9829234537999999	0.9459393076599996	0.9854394768999999
chv_Cyrl	0.9424860849600007	0.9311801486999991	0.9683188455800005	0.9593984522199993	0.9524481858200003	0.9398887664200006		0.9380700163000013	0.9288190948800008	0.92107816426	0.9530183803800004	0.9176026140400009	0.9447903335200002	0.9356526709200003	0.9288113875800004	0.9237017897600004	0.9582856492200003	0.9368775690999998	0.9000704553200006	0.9417401101000007	0.926403390620001	0.9344674296999992	0.95331196364	0.9663598744199997	0.9692392287999996	0.943547947500001	0.94988008918	0.9478946469999998	0.9358678799200002	0.9533833595000002	0.9225666400999996	0.9263938459399994	0.9791401479600006	0.9424918896400002	0.9297213544600001	0.9273744710399998	0.9562499496400004	0.9292175922599997	0.977525159	0.9247548121199999	0.9256484906599995	0.9469619742000003	0.9346002593599999	0.9728608433999996	0.94923681264	0.9677214169000016	0.9501710592999997	0.9508415668000002	0.9551160904999998	0.9312830161400002	0.97415202488	0.9513160127400005	0.9543714997399999	0.9369334518399997	0.9645564461799992	0.9401642388199997
cmn_Hani	0.97257565392	0.9124586730200005	0.9244918148799998	0.9733722922200014	0.9245886832200004	0.9750454605799995	0.9380700163000013		0.9736231736400003	0.971818118779999	0.9571308461799994	0.9716847690800002	0.9711762909599997	0.9734377486399992	0.9751105468800001	0.8979668973999997	0.9424136314200008	0.9747720474800003	0.8283872189799999	0.9745302212000003	0.9726328946799999	0.9765124104799995	0.9698585643599996	0.9353977074600004	0.9567569591000006	0.9773247705199997	0.9740755191399997	0.9753511026399998	0.8961760971599998	0.926012199800001	0.8744969481799995	0.9724781967199991	0.919095793139999	0.973998280540001	0.9747118387999996	0.9733965960200002	0.9685444225200002	0.9741881970000006	0.9391787995999994	0.9724562496200005	0.9729874715599999	0.9710588540199998	0.8932132042200007	0.9477005638600001	0.9210544544800001	0.9648220941600006	0.968983698040001	0.9380434003399997	0.9717699727399997	0.972961316160001	0.9367552123999997	0.9739914343800005	0.9714913488199994	0.9764401010600001	0.9446352962199993	0.9764830132000001
dan_Latn	0.9823173442399997	0.8976004078600001	0.9120057560999992	0.9766553789399998	0.9090728120200008	0.9846632442800005	0.9288190948800008	0.9736231736400003		0.9886379983400012	0.9554003491400003	0.9881406523000001	0.9803406412800003	0.9850498434199991	0.9895885322799998	0.884424753619999	0.9302507231199995	0.9857162418599997	0.7977504375000005	0.9840050405200007	0.98693959104	0.9827282183799999	0.9716310821600003	0.9240463619200008	0.9512756911199998	0.9805357444200002	0.9818791332199998	0.983233528820001	0.8752033144200003	0.9110569650400002	0.8494741539999994	0.9881218421599999	0.9067937579599996	0.98075076166	0.988967694639999	0.9869262763000002	0.9705913837799991	0.9880199708000003	0.9330155404799992	0.9873077886600006	0.9889327542999995	0.9781329191399986	0.8713284094800003	0.9399118723599993	0.9049757148000002	0.9630437442800002	0.9750184282799994	0.9239065426600004	0.97736003162	0.9833861579199997	0.9257234149399989	0.9798587104600001	0.9713099258199996	0.98395009192	0.9395007841399998	0.98579608024
deu_Latn	0.9810755597599997	0.8907420302600002	0.90399814802	0.9725095343999992	0.9004394646999997	0.9837207949600005	0.92107816426	0.971818118779999	0.9886379983400012		0.9503936499400004	0.9891068677600006	0.9776317691400007	0.9831057987999997	0.98956652102	0.8771531594400007	0.9230803716999997	0.9848824260800001	0.7845635008600007	0.9816516740800009	0.98637048112	0.98251883794	0.9686111357800002	0.9153312003600002	0.9447277745999998	0.9790281325600001	0.9792569332399998	0.9806467963600002	0.8651506480600006	0.9020957129200001	0.8385726630200001	0.9884868277599997	0.8982120434399996	0.9795728224599999	0.9886414094599996	0.9862770956599997	0.9656093726600001	0.9883084024800004	0.92646219806	0.9875379284999997	0.9870227297999995	0.9746214056400001	0.8605725860200003	0.933131417	0.8959118839999999	0.9580883675999999	0.9713052949199998	0.91529157084	0.9745430841799995	0.9823195844600003	0.9178410239400002	0.9767566047199997	0.9686184872199994	0.9832224990799993	0.9322123508600005	0.9838669183800001
ell_Grek	0.9609451106200007	0.9349543487600006	0.9484419290000001	0.9729894860999997	0.9488411668200002	0.9622412034399993	0.9530183803800004	0.9571308461799994	0.9554003491400003	0.9503936499400004		0.9465590464399991	0.9605577857799993	0.9590363855800005	0.9568004980200003	0.9211197203599998	0.9611713261400004	0.9608491849600008	0.8787805193199998	0.9620134581000005	0.9534253326799996	0.95635489338	0.9713764387	0.9546929430400007	0.9650317611200003	0.9638171523800003	0.9676280134799995	0.9674768655199998	0.92703674512	0.9501288519399997	0.91052852792	0.9543736533200005	0.9450941905800002	0.9634716500400001	0.9576775487399992	0.9545203331999994	0.9708329258000009	0.9550664581000008	0.9538077697599996	0.9519270236400001	0.9521947017199998	0.9644056290399999	0.9276602262199997	0.9620164570600007	0.94705175514	0.9698553146799997	0.9631532445000006	0.9544651288599997	0.9633550132999994	0.9548906857	0.9544836911999999	0.9687787607799991	0.9684555119399996	0.9606190120800004	0.9538797385000003	0.9617333015200002
eng_Latn	0.9794981025399994	0.8853353949200007	0.8985592573200003	0.96962157414	0.8939415756399995	0.9823675605000006	0.9176026140400009	0.9716847690800002	0.9881406523000001	0.9891068677600006	0.9465590464399991		0.976283079500001	0.98214664806	0.9901684664199997	0.8720391113400002	0.9174510765799996	0.9831429998199992	0.7748902672000002	0.9822808703999992	0.9867075106200007	0.9820220915600001	0.9650842023199997	0.9109361413000007	0.9413206878399999	0.9775494931399994	0.9765836849600001	0.9788408604799994	0.8579841458199997	0.8961902563999997	0.8311240996600002	0.9875168615400005	0.8924631599000001	0.9781759090400001	0.9883263580800001	0.9871642605800017	0.9635314773999999	0.9889220184999995	0.9218830876399997	0.9883818570600001	0.9874333019199997	0.9737847713399999	0.8534967930800001	0.9291965284799993	0.8902692197600007	0.95378060128	0.9697144584399995	0.9112211698999995	0.9730966446800003	0.9821566991199994	0.912765268580001	0.9750207034600005	0.9661570602999996	0.9828271200800006	0.9286236060600004	0.9850890314199999
eus_Latn	0.9783472936799994	0.9116846780799993	0.9298404486400006	0.9779831128800001	0.9270104997999994	0.9787097038799997	0.9447903335200002	0.9711762909599997	0.9803406412800003	0.9776317691400007	0.9605577857799993	0.976283079500001		0.9802194012399996	0.9803882058199994	0.8978963805200001	0.9445689392199992	0.9812333408599987	0.8275535850200002	0.9802350570400007	0.9779354744600011	0.9775104097199989	0.9752886648799999	0.9396732959800008	0.9619752837799999	0.9785538140200001	0.9804714354200009	0.9818730899399993	0.8963152417000004	0.9286785228400006	0.8738056014999991	0.9784585562000004	0.9270995140600001	0.9772307477199994	0.9810103448400004	0.978650645599999	0.9737802438199998	0.9791711132000005	0.9485327836200007	0.9786153883799995	0.9771173268999997	0.9790280135400004	0.8937130261600009	0.9529550025599997	0.9235349520399999	0.9700810477200001	0.9765706234999995	0.936252772680001	0.9792772930199997	0.9781649187599999	0.9432668476999997	0.9781130025199993	0.9746236865999995	0.9779576793999999	0.9511463040800003	0.9812259027999994
fin_Latn	0.9811496513600007	0.9054146245799995	0.9208569975599994	0.9779527119999996	0.9176818146800009	0.9833832565199998	0.9356526709200003	0.9734377486399992	0.9850498434199991	0.9831057987999997	0.9590363855800005	0.98214664806	0.9802194012399996		0.9855093688200003	0.8921777938800003	0.93799917122	0.9847174220600001	0.8132306142400001	0.9826726171999994	0.9831120917599996	0.98083230968	0.9746418788400002	0.9315805438200001	0.9558570129199997	0.9801978638199994	0.9828387999000002	0.9843741920399993	0.8859147786200002	0.9199808705599997	0.861452805819999	0.9838473988800003	0.9149592316600003	0.9798333031999996	0.9861086442199996	0.9827867357600006	0.9727233378800001	0.9848573782400006	0.9388144755399993	0.9832384458599995	0.9832288883200005	0.97819409152	0.8829329708399986	0.9465050182	0.9139500861200001	0.9660474751999998	0.9751415492599993	0.9304672031799998	0.9785452344199999	0.9813525740800005	0.9336790347199998	0.9802818192599998	0.9727067927199996	0.9823893896199992	0.9439489409799996	0.9841699673199995
fra_Latn	0.9824873002199991	0.8982352621400005	0.9126243479400002	0.9773353755800002	0.9090749299199992	0.9860184064599999	0.9288113875800004	0.9751105468800001	0.9895885322799998	0.98956652102	0.9568004980200003	0.9901684664199997	0.9803882058199994	0.9855093688200003		0.8852437246800011	0.9309960820399997	0.986694645880001	0.7976135440000002	0.9851239139200008	0.9898374426000003	0.9843580985199992	0.9723776139399994	0.9240425628599995	0.9514077450999998	0.9813791918199994	0.98251607874	0.983956299400001	0.8750520144599994	0.9103709011199999	0.8497402853400001	0.9885726601799996	0.9061165118599998	0.9816400169399998	0.9903411398199999	0.9896439052000001	0.9728353782799997	0.9900010602399996	0.9329968181600004	0.9899725103000004	0.9876344112600002	0.9785042538599997	0.8710244630800005	0.9405515120999997	0.90443566936	0.9632329777800002	0.97521296868	0.9242185865599997	0.9780131249999999	0.9839769682599994	0.9253597101799991	0.9806544027600002	0.9721118829600004	0.9852968546399996	0.9390162766400006	0.9868930224199995
heb_Hebr	0.8979335794600009	0.9229996721600001	0.9211536557199993	0.9149962838199991	0.9226499417599994	0.8971815356599999	0.9237017897600004	0.8979668973999997	0.884424753619999	0.8771531594400007	0.9211197203599998	0.8720391113400002	0.8978963805200001	0.8921777938800003	0.8852437246800011		0.92498285102	0.8928913660599996	0.87956065924	0.9001867643000007	0.88151967304	0.8895741416399986	0.9154624102000002	0.9224248125999995	0.9217228959599993	0.9028875751600005	0.9047943361600002	0.9022630343400003	0.9103742560400003	0.9189453666799999	0.9001875733000003	0.8829572945599995	0.9242364747999997	0.9024853445200006	0.8868033960599997	0.8832706401600003	0.9145084378200004	0.8830099329999994	0.9198584286799999	0.8810804943599999	0.8811528280799995	0.9049124143399999	0.91273227504	0.9225280166200008	0.9199959669400011	0.9215903993799996	0.9061730849000001	0.9222825452599993	0.9069554117000005	0.8896520407799995	0.9224257436799995	0.9063508252799999	0.9160940822599997	0.8956392204600004	0.9203980517800004	0.8986411505000013
hin_Deva	0.94590023712	0.9446747046999997	0.9642532498200006	0.9624372467600002	0.9799661465799999	0.942641023840001	0.9582856492200003	0.9424136314200008	0.9302507231199995	0.9230803716999997	0.9611713261400004	0.9174510765799996	0.9445689392199992	0.93799917122	0.9309960820399997	0.92498285102		0.9405358952799995	0.9235811931999991	0.9458288203199993	0.9272523348799995	0.9387516527399998	0.9614123489800004	0.9709034335799999	0.971356723860001	0.9511456563799993	0.9527408193199992	0.9512785725999998	0.9619831428399993	0.98308127574	0.9474478705600009	0.9285815955399992	0.9565280948000002	0.9478035531200002	0.9311779771599998	0.9292766574200005	0.9625695518999993	0.9293507185999997	0.9598863625999999	0.9255127327999999	0.926899034939999	0.950933849900001	0.9631401045599992	0.9717786747399993	0.9743307683200001	0.9694783812000004	0.9490661539000005	0.9692694114800008	0.9504383826000005	0.9355463607399994	0.9683441414400003	0.95432514088	0.9678010736399996	0.9403032286199998	0.9541021017199999	0.9441889112199999
hun_Latn	0.9821430370400002	0.9072788994600004	0.9233014970400003	0.9800796594199995	0.9214537378999994	0.9844820100000006	0.9368775690999998	0.9747720474800003	0.9857162418599997	0.9848824260800001	0.9608491849600008	0.9831429998199992	0.9812333408599987	0.9847174220600001	0.986694645880001	0.8928913660599996	0.9405358952799995		0.8166877872600001	0.9828906036799996	0.9832047269399999	0.9819111803999999	0.97681945694	0.9345354131600003	0.9591607959200004	0.9818086724799999	0.98355185428	0.9847667172400001	0.8889783361400003	0.9223624441600001	0.8642116653200005	0.9845083814599992	0.9166735671999998	0.9812321563200005	0.9868785509399995	0.9843937193400002	0.9743234289000006	0.9858228869200001	0.941033855079999	0.9833953526399999	0.9842998781200005	0.9784225605199997	0.8856235833399998	0.9494989239199996	0.91690888302	0.9683267026999999	0.9759321951999997	0.9332369520399998	0.9789508486799998	0.9837160482800007	0.9354290358200001	0.9812583039199996	0.9752275282800007	0.9836199429199993	0.94581998332	0.9852657409400001
hye_Armn	0.82907411102	0.9003077175600006	0.9263728549400007	0.8645352480600005	0.9385332403000005	0.8212283212400003	0.9000704553200006	0.8283872189799999	0.7977504375000005	0.7845635008600007	0.8787805193199998	0.7748902672000002	0.8275535850200002	0.8132306142400001	0.7976135440000002	0.87956065924	0.9235811931999991	0.8166877872600001		0.8250512967400003	0.7933507562399997	0.8121933896800004	0.8603660503200002	0.9239063272200011	0.8988795239199995	0.8340086396599998	0.8425032665799994	0.83801563982	0.9461359803399996	0.9334066241400006	0.9467424994400008	0.7944130229600003	0.9164537951400006	0.8296462601000001	0.7989972619999998	0.7967445657199996	0.8699826511200002	0.7942235925999999	0.8982860362800001	0.7894637939000002	0.7926601071799996	0.8411511235399991	0.9525428952200002	0.9107810226800009	0.9371691169799997	0.8865669556399999	0.8419608194999997	0.9159914851800006	0.8400900609600002	0.8075341508600006	0.9183161443799999	0.8471917310799998	0.8620588393199997	0.8158814346400002	0.8834869076199995	0.82089859108
ind_Latn	0.9821419044800006	0.9149163905200003	0.9288701136400002	0.9798452133399999	0.9282483355800002	0.9840512633399994	0.9417401101000007	0.9745302212000003	0.9840050405200007	0.9816516740800009	0.9620134581000005	0.9822808703999992	0.9802350570400007	0.9826726171999994	0.9851239139200008	0.9001867643000007	0.9458288203199993	0.9828906036799996	0.8250512967400003		0.9821105251600001	0.9812280213000001	0.9749040505400007	0.9399152984599994	0.9620096354799992	0.9825382904199997	0.9819711105199994	0.9837101347799989	0.8955876752600003	0.9279083703800006	0.8737660222999993	0.9829214314599996	0.922758141320001	0.9821440260599988	0.98469557148	0.9835197486400001	0.9763476334199991	0.9843438874000002	0.94556254764	0.9827461621000001	0.9813297130599998	0.9826360514000003	0.8946522811599995	0.9525145086399996	0.9229886057199995	0.9713320502399998	0.9797567272000007	0.9409769653999993	0.9797563786600002	0.9812133484599995	0.9405244508400004	0.9809401484000005	0.9771731000400002	0.9854268448400006	0.9495070492799997	0.99315355726
ita_Latn	0.9795201372799996	0.8950475247999998	0.9089225508000008	0.9736463066800007	0.9051358000000004	0.9830024352199995	0.926403390620001	0.9726328946799999	0.98693959104	0.98637048112	0.9534253326799996	0.9867075106200007	0.9779354744600011	0.9831120917599996	0.9898374426000003	0.88151967304	0.9272523348799995	0.9832047269399999	0.7933507562399997	0.9821105251600001		0.9822711909599996	0.9691600584199992	0.9205788543999999	0.9475131100799999	0.9781731277399989	0.9789860203200005	0.9809657613799998	0.87157011404	0.9067482070999994	0.8462036206200009	0.9851921389799997	0.903164426859999	0.9785006626999995	0.9874208926600003	0.9861588591400001	0.9695218577599997	0.9873053455799997	0.9296810707000002	0.9874287251800005	0.9842821848800009	0.9759922544000003	0.8667317978000001	0.9372912551200012	0.9008912984799999	0.9593163390800006	0.9725965363199994	0.9206813772000012	0.9746563497600004	0.9807488563799995	0.9232158581799995	0.9775958969400003	0.9688949793600001	0.9822164961800001	0.935503362340001	0.9840903463199997
jpn_Jpan	0.9790795732799993	0.9046807702200005	0.9204016930399989	0.9752800766600004	0.9185700274000003	0.9812050639799997	0.9344674296999992	0.9765124104799995	0.9827282183799999	0.98251883794	0.95635489338	0.9820220915600001	0.9775104097199989	0.98083230968	0.9843580985199992	0.8895741416399986	0.9387516527399998	0.9819111803999999	0.8121933896800004	0.9812280213000001	0.9822711909599996		0.97321119482	0.930982617920001	0.9554874595999994	0.9857838044800001	0.9791072037800002	0.9805791630999996	0.8873459610799994	0.9205181592199998	0.8647329900200004	0.9818607248199992	0.9135510564799992	0.9801356442800009	0.9838518976800005	0.9817568746200005	0.9701730367999994	0.9839083778399996	0.9385009782999999	0.9824454105000001	0.9812271094800006	0.9755488237800001	0.8831640320400003	0.9462254068200008	0.9152380378200003	0.9650304571599994	0.97324542942	0.9318074944199997	0.9772961116000006	0.9801951643399998	0.93299449368	0.9779372166400009	0.9741076684999989	0.9819314663400005	0.9418474703599995	0.9830003157799995
