	amh_Ethi	asm_Beng	azj_Latn	bel_Cyrl	ben_Beng	bos_Latn	bul_Cyrl	ceb_Latn	ces_Latn	ckb_Arab	cmn_Hani	cym_Latn	dan_Latn	deu_Latn	ekk_Latn	ell_Grek	eng_Latn	fin_Latn	fra_Latn	gle_Latn	guj_Gujr	hau_Latn	heb_Hebr	hrv_Latn	hun_Latn	hye_Armn	ind_Latn	ita_Latn	jav_Latn	kaz_Cyrl	kir_Cyrl	lin_Latn	lit_Latn	ltz_Latn	mal_Mlym	mar_Deva	mlt_Latn	mon_Cyrl	mri_Latn	mya_Mymr	nep_Deva	oci_Latn	pol_Latn	por_Latn	ron_Latn	rus_Cyrl	slv_Latn	sna_Latn	snd_Arab	som_Latn	spa_Latn	srp_Cyrl	swh_Latn	tam_Taml	tha_Thai	tur_Latn	ukr_Cyrl	uzn_Latn	vie_Latn	zsm_Latn	zul_Latn
amh_Ethi		0.8284568867200004	0.8427629963000002	0.8610993451399996	0.8276737885399998	0.8596731615199994	0.83443611604	0.8372301356199998	0.8421510405600008	0.8307081713799997	0.8375999656999998	0.8219363103799995	0.8484456178199998	0.8559035731600004	0.8715454788200003	0.8461705702799996	0.8473248622200004	0.8320221249400012	0.8424171243600012	0.8348886672800002	0.81332074056	0.8576497469599998	0.845346845600001	0.8540192477399997	0.8433279003199997	0.8553616126799999	0.8178474364000003	0.8485099908999989	0.8237983121000004	0.8413039377999999	0.8612998204600003	0.8102806004199999	0.8570490881000004	0.8425780326599999	0.8293175567400006	0.804317893080001	0.8652240740400001	0.8450090858199997	0.8284239790600004	0.8436600222799999	0.8297713754799998	0.8101941743399999	0.8503363630800004	0.8503671715600003	0.8383735964200003	0.844032247779999	0.8589585896200009	0.8160646961599998	0.8063831303000003	0.8348291774399998	0.8029819165000001	0.8549595769	0.8330514575200002	0.8041508891999994	0.8271372695400003	0.8050423471599998	0.8276955051599998	0.8331855232400004	0.8079717635199996	0.8209721422400008	0.8447725163799998
asm_Beng	0.8284568867200004		0.8473215076399998	0.8511495317200001	0.83453855424	0.838736788559999	0.8182994152799997	0.8280034960000001	0.8394801198600006	0.8181021403000003	0.8310920160800016	0.81467350268	0.8288836312399996	0.8401485579599994	0.8448244104	0.8396989622000005	0.8368821369200004	0.8076488230800003	0.8366445157400005	0.8251244387999999	0.8314319182400006	0.8440785809000013	0.8281874538199996	0.8390569840600001	0.8193541036999992	0.8530975763400005	0.8242793976600006	0.8358117588800004	0.8380578193400005	0.8384300933200007	0.8404861732000006	0.8128506052599989	0.8496569003800001	0.832019393839999	0.8249609877000001	0.8253775945600003	0.83573504396	0.8253577063200007	0.8360743766399998	0.8277818664199991	0.8417437265600005	0.8040074469600004	0.8406618795000002	0.8517703457999997	0.8419024598199991	0.8329620235600002	0.8401111769799996	0.8344312818999999	0.81538461642	0.8467036943000013	0.8036807813200001	0.8407024204800004	0.8320404707799998	0.8356794261800001	0.8362412972399993	0.8058597796000005	0.8477114591800001	0.8374039123199996	0.8384787674199998	0.8349119138199997	0.8288843542800007
azj_Latn	0.8427629963000002	0.8473215076399998		0.8596383590200006	0.8475776162600004	0.8591385082799998	0.8262237904999999	0.8338288132000002	0.8634745327399993	0.8503710597	0.8437692962800001	0.8356146216800001	0.8575459860999997	0.8631039492200001	0.8563836905600009	0.8583835231399995	0.8580943882199993	0.8281985583200006	0.8485096969400006	0.8541960012000005	0.8293741634999998	0.8544697590400004	0.8576815018200004	0.8633888961800008	0.8544349333400003	0.859068366540001	0.8559354863599998	0.8372792592200002	0.8658450849199992	0.8438776984999997	0.8477665899399994	0.8416932080799997	0.8476125146999995	0.8575715874200007	0.8268489840800002	0.8214209935999995	0.8608982865600009	0.8648743264400003	0.8480717036800007	0.8233108812800002	0.8391217050600002	0.8179260425599992	0.8598020531800007	0.8629366538000005	0.8768955946399993	0.8459880040199991	0.856001246240001	0.8579475823600003	0.8260628976600002	0.8662886640399997	0.8146396014999997	0.8666579717599993	0.8532428137800003	0.8296611434599994	0.8438516138800001	0.8228997568199999	0.85237560922	0.8304469267399996	0.8505470806600001	0.85993459816	0.84863324654
bel_Cyrl	0.8610993451399996	0.8511495317200001	0.8596383590200006		0.8426771481400003	0.87285087712	0.8397757498600006	0.8391112283800004	0.8676482636200008	0.8369683695399996	0.8551178802000003	0.8425018351200009	0.8565018251200004	0.85984842888	0.8824672644999997	0.8617607434599999	0.8618292657600003	0.8421999641600004	0.8533053608599996	0.8508071519599995	0.8421322267800004	0.8730513006400002	0.8397560792800004	0.8749513715199994	0.8484164356400004	0.8722044929000006	0.8405961570400001	0.85716595624	0.839995129880001	0.8658785717199999	0.8655844972400011	0.8289937379600008	0.8710681723800003	0.8659221323600002	0.83269996478	0.8347359149799994	0.8696604174999993	0.8545501864000004	0.8504576822399987	0.8437146969599995	0.8574182983599998	0.8378104797000001	0.8667414677600002	0.8736854824600006	0.8629173108600002	0.8645073459200013	0.8743317150199997	0.8540171638000007	0.8175675852000007	0.85851221886	0.8161946634599997	0.8575439410000004	0.8549061246600003	0.8327219776599997	0.8390895393599995	0.8228111845200003	0.8596569377400005	0.8549131869999997	0.8456183340400002	0.8433824035400006	0.8608656592999998
ben_Beng	0.8276737885399998	0.83453855424	0.8475776162600004	0.8426771481400003		0.8223327112399998	0.8018460616199989	0.8265813749999994	0.82803078946	0.8274804711000008	0.8203964960400004	0.8063729590399997	0.8238870060199989	0.8248942303399995	0.8362250144400003	0.8328966274400001	0.8293309806400002	0.7998498738400001	0.8138696724999994	0.8096059718400008	0.8370602483800001	0.8368677401800002	0.8310108096800006	0.8315514850600002	0.8260929768800012	0.8358198102200003	0.8309816679199991	0.8147433095199997	0.8419193369800003	0.8180131569999995	0.8253110830599998	0.8261471217599987	0.8263066316200004	0.8189735586199995	0.8177741468599988	0.8092964369999994	0.8397871396800007	0.82982125528	0.8188578851400006	0.7971909295600003	0.8270847937799997	0.7996307243999999	0.8257284296200004	0.8403597070199998	0.8373066064999999	0.8192548065600004	0.8316929495600006	0.8244107535200004	0.8136123107800002	0.8346744803799993	0.7851622766600003	0.8389203838000001	0.8231301630000003	0.8170216782799997	0.8309600836400001	0.79173856658	0.8274715169999998	0.8119791444800006	0.8209169439000001	0.8327150348599992	0.8198464896800003
bos_Latn	0.8596731615199994	0.838736788559999	0.8591385082799998	0.87285087712	0.8223327112399998		0.8455787021000001	0.8343582696200001	0.87389731426	0.8319321345000008	0.8580437418399998	0.8441377571800006	0.8672229825199997	0.8761441728200005	0.8809433031600001	0.8654033350399998	0.8596443202799999	0.8507290945199995	0.8692948793599997	0.8586022138200002	0.8208310708199998	0.8582533079799997	0.8418089877600006	0.8776186649799993	0.8424910623400006	0.8663189126400003	0.8304566544200002	0.8636200085800003	0.8356954305799997	0.8714242845200003	0.8659087445000003	0.8155195117400005	0.8749313356600001	0.8730378498599994	0.8154001220799995	0.82426352888	0.8639175330400004	0.8589569708999998	0.85502564042	0.8485869205600001	0.8528428388599993	0.8158946881399992	0.8778840739000001	0.8686564153400002	0.858691329079999	0.8629596657199998	0.8735064112599998	0.8527727524799997	0.8033892189800002	0.85425678882	0.8294716685799997	0.8577168220000002	0.8471508028399998	0.8208681118200003	0.8292327253199999	0.8302229234800005	0.8660585659400005	0.8451445439000002	0.8444420382	0.8359327064399993	0.8572299770200008
bul_Cyrl	0.83443611604	0.8182994152799997	0.8262237904999999	0.8397757498600006	0.8018460616199989	0.8455787021000001		0.8104694033800001	0.8442729405600011	0.8050283654599992	0.8331322503800008	0.8159695237800004	0.831791719460001	0.84794009734	0.8472890972800006	0.8368402988200005	0.8320508687999999	0.8227244220599996	0.8389417608400002	0.8305551058600004	0.7941258755799996	0.8240822353199996	0.8164469404600002	0.8343424625599994	0.8077745191400005	0.8419600081799998	0.8024597984200001	0.8393016213999996	0.8073837652199991	0.8372612930999995	0.8311806982400001	0.78442796522	0.848183099199999	0.8456557431199998	0.7997592274799998	0.8089657677600003	0.8274132227000005	0.8190529561199992	0.8252165082199997	0.8249739060199999	0.8273885551000005	0.7974212125999997	0.84487682622	0.8429098430599997	0.8372211703200001	0.8379198143199994	0.8399738270400001	0.8182295623200011	0.7830883999200002	0.8267885631999998	0.80351774682	0.8368767634999998	0.8172693569400002	0.8077868672199995	0.8063841058600008	0.8023410694599995	0.8376585969399997	0.8246396187599997	0.8171116661600003	0.8087001295999995	0.8234967674599999
ceb_Latn	0.8372301356199998	0.8280034960000001	0.8338288132000002	0.8391112283800004	0.8265813749999994	0.8343582696200001	0.8104694033800001		0.8306673533399994	0.8194401822400007	0.8191801165399997	0.8066200421799996	0.8215778006399995	0.8309044006000004	0.8420336664800003	0.8322087429800006	0.8275219805399996	0.8026606789800007	0.8201944688600009	0.821396602579999	0.8242777217600004	0.8415411196199999	0.8302408274	0.8277405457200004	0.8132879868399994	0.8383175192599995	0.81858741528	0.8298382270400001	0.8221701780800007	0.83114227898	0.8378480093799996	0.8099581972999996	0.84001738232	0.82268555816	0.8219346464999998	0.8064502617399999	0.8344790247599998	0.81380438286	0.8240145619400001	0.8211251161200006	0.8317993454800001	0.7966119205800002	0.8317796934999996	0.8338872498599995	0.8265774837400002	0.8223106926800001	0.8305348722999999	0.8211355368200003	0.8054226660799997	0.8325312443199995	0.7878226117999994	0.8325250056999985	0.82319728238	0.8131104996800002	0.8196684220000001	0.7870340538600005	0.8266593019600009	0.8179771828199998	0.8109147721599994	0.8231462354599995	0.8183885290399995
ces_Latn	0.8421510405600008	0.8394801198600006	0.8634745327399993	0.8676482636200008	0.82803078946	0.87389731426	0.8442729405600011	0.8306673533399994		0.8306613244800005	0.8569761738599996	0.8419316075600007	0.8603683147000001	0.87890339454	0.8729369513400002	0.8650267263399998	0.8586322055200006	0.8394714993200004	0.8607776513000001	0.8604953067	0.8221759170000006	0.8499391475800004	0.8387393206600003	0.870575753280001	0.8330039257999996	0.8638012947400004	0.8334775153200005	0.8612407271400004	0.8401168170600003	0.8712207546999999	0.8573347608599996	0.81854194172	0.87269664254	0.8744786840000006	0.8166447160600007	0.8371437858400003	0.8541547213000005	0.8550121415200007	0.8524239054599997	0.83862790564	0.8594299893600001	0.82477829214	0.8663664219200006	0.8722912497199997	0.8736392422199991	0.8631534375000002	0.8693649864599999	0.8569085122199992	0.8062929268599995	0.8605610076999993	0.823842040519999	0.8501977308600005	0.8497235725600003	0.8340265886200005	0.8288025379399999	0.8273989794999995	0.8721126628399994	0.8487924112600008	0.8497717288199993	0.8403791823800015	0.8531898262600003
ckb_Arab	0.8307081713799997	0.8181021403000003	0.8503710597	0.8369683695399996	0.8274804711000008	0.8319321345000008	0.8050283654599992	0.8194401822400007	0.8306613244800005		0.8182528617999997	0.8129704295199996	0.83094516842	0.8280001087400003	0.8371176381000001	0.8345657370799999	0.8338781094599999	0.8083104333600009	0.8170868051800003	0.8246264705000003	0.8210685967400001	0.8326911666799999	0.8396218662999988	0.8354213800799998	0.8429959905600003	0.8347961851999991	0.8215184740200001	0.8140392065999997	0.8337816488599997	0.8154103930999995	0.8257493630800005	0.8151458747000006	0.81679225102	0.8262172362800002	0.8144156217	0.7981727322000002	0.8454397828799995	0.8339957594999999	0.8194038354599995	0.8007271696399998	0.8159463602799998	0.7910022134200004	0.8317194699200001	0.8340518654600001	0.8411979864000001	0.8150416501399999	0.8276562877599999	0.8241924335399997	0.81345864982	0.8366630991600005	0.7927075651999997	0.8487350063199999	0.8204331188799997	0.8008754243199994	0.82409121848	0.80234057864	0.8216035676600003	0.7995316675399988	0.8145080312399996	0.8276991856999999	0.8252863091200007
