	amh_Ethi	asm_Beng	azj_Latn	bel_Cyrl	ben_Beng	bos_Latn	bul_Cyrl	ceb_Latn	ces_Latn	ckb_Arab	cmn_Hani	cym_Latn	dan_Latn	deu_Latn	ekk_Latn	ell_Grek	eng_Latn	fin_Latn	fra_Latn	gle_Latn	guj_Gujr	hau_Latn	heb_Hebr	hrv_Latn	hun_Latn	hye_Armn	ind_Latn	ita_Latn	jav_Latn	kaz_Cyrl	kir_Cyrl	lin_Latn	lit_Latn	ltz_Latn	mal_Mlym	mar_Deva	mlt_Latn	mon_Cyrl	mri_Latn	mya_Mymr	nep_Deva	oci_Latn	pol_Latn	por_Latn	ron_Latn	rus_Cyrl	slv_Latn	sna_Latn	snd_Arab	som_Latn	spa_Latn	srp_Cyrl	swh_Latn	tam_Taml	tha_Thai	tur_Latn	ukr_Cyrl	uzn_Latn	vie_Latn	zsm_Latn	zul_Latn
amh_Ethi		0.9941177935800001	0.99452233972	0.9942281971800012	0.9942172731199997	0.9950430674799996	0.9946339505199988	0.99433066238	0.9948148436199996	0.9932844696600002	0.9947168079000004	0.9670944651199996	0.9940731533600002	0.9950550521600012	0.9948474969999999	0.9948173286199993	0.9946575004599997	0.9945590581399987	0.99449281556	0.9942575327400002	0.9948942879799996	0.9944885617800007	0.9942791501999995	0.9949687368	0.9935494584000003	0.9950031083399993	0.9943733203600005	0.9942524141400007	0.9945093334799996	0.9941516545799995	0.9949808226800005	0.9926656442399997	0.9951986254799992	0.9944952858200008	0.9940729076	0.9943754699799996	0.9952190891399988	0.9944848495199998	0.9925059045200003	0.9940967598799995	0.994781244080001	0.9929525015200004	0.994392253080001	0.9949296553199998	0.9950785027600006	0.9950003065000004	0.9950347211800004	0.9938921679400001	0.9887935654400013	0.9944088436999998	0.9731983050600006	0.9951303265199998	0.9940432941399999	0.99437806254	0.9950223206200002	0.9915374902200004	0.9947585040400002	0.9947837745199999	0.9944014442799992	0.9947160919000004	0.9935717017400008
asm_Beng	0.9941177935800001		0.9959830809799994	0.99612439076	0.995065902700001	0.9961180396199989	0.9946245196999993	0.9954336428799997	0.9954409650199993	0.9930967650799991	0.9950910939400002	0.9659584795600007	0.99454546762	0.9957101742400006	0.9954050646000008	0.9955061052599998	0.9953813025800005	0.9948500221200003	0.9955245504799989	0.9959205028600003	0.9950296517799999	0.99597552996	0.9934775635800002	0.9954016995600002	0.9932844024600002	0.9957685224599999	0.9947382522200002	0.9954806157800009	0.9956760410199995	0.9959505320400004	0.9959443421399994	0.9950402206799995	0.9959437519199997	0.9955904445800008	0.9950213986799994	0.9957351636199998	0.9959967391199988	0.9943718698599993	0.9955067665	0.9955869255199999	0.99566255158	0.9949335090600002	0.9951680870000007	0.9960687272399993	0.9958436258599994	0.9956107183400001	0.9949344009200007	0.9959017760000007	0.9887590649999985	0.9956258186200001	0.9725566774199997	0.9956565188600002	0.9957123168400003	0.9956260614200008	0.99566790866	0.9907204150200003	0.9963387622799997	0.9959818993799998	0.9951351091999988	0.9955829565600008	0.9956580111600012
azj_Latn	0.99452233972	0.9959830809799994		0.9966392577400002	0.9949170398199991	0.9966287908200001	0.9947994994799993	0.9954838780799988	0.9958027167800002	0.9933517582399997	0.9953995365000009	0.9643587114200003	0.9944829392200008	0.9959190047200003	0.995589071240001	0.9957974075600001	0.9958049998599999	0.9952449225399999	0.9961228043800001	0.9964311007200009	0.99496772838	0.9960207236199998	0.9939591749399996	0.9961584092599999	0.993279701660001	0.9961615697200005	0.9951038260599987	0.9956594293199994	0.9961633851799998	0.99630817226	0.9958872173399991	0.99556460314	0.9959295388399991	0.9964082564800004	0.9946286512399988	0.9959974449600004	0.9961137262200004	0.9945059199399992	0.9960571508800009	0.9958164551600002	0.9960540988199997	0.9956942462999997	0.9956359952600005	0.9963037049000005	0.9964313183000002	0.9961564449599993	0.9952415535799999	0.9963106751800004	0.9881614638200007	0.9960746287799996	0.9718818324999988	0.9960053517200003	0.9961838522199999	0.9958444793400003	0.9958170653	0.9907622862599997	0.99661603354	0.9961641058399994	0.9956128050600003	0.9961206000000005	0.99653387344
bel_Cyrl	0.9942281971800012	0.99612439076	0.9966392577400002		0.9947796976	0.9966663693199999	0.9949383885200006	0.9956736485000017	0.9960575935999996	0.9931333350799996	0.9952141610400007	0.9655886495200002	0.9946615931599998	0.9961470356399998	0.9959497564600003	0.9958564800800008	0.99572719468	0.9951570212000002	0.9962150478799999	0.9967713024000002	0.9949719294800006	0.99642225682	0.9932218851000004	0.9959756674199994	0.9930702970400016	0.9964343407399988	0.9949743311399999	0.9961072992199992	0.9960347022799995	0.9967459103399995	0.9963395401800003	0.9956887679999997	0.9961731072999995	0.9965268215399997	0.9949821145999987	0.9963151137999992	0.9962722767000001	0.9945363060200006	0.9968413624000002	0.9960587255999999	0.996225517679999	0.9959452354399994	0.9955040269399994	0.9965954617600005	0.9962360488399993	0.9964423640400001	0.9951396839799999	0.9965651896399996	0.9881121231599999	0.9962062099800012	0.97223948622	0.9960272864799999	0.99652977348	0.9960040350600005	0.9959382630600001	0.9908072722400002	0.9971441943800006	0.9964229848199995	0.9954479769000008	0.9959449759999998	0.9969123208999991
ben_Beng	0.9942172731199997	0.995065902700001	0.9949170398199991	0.9947796976		0.9951140472800006	0.9945158881600006	0.9949917976399999	0.9949789491399993	0.9934586638600001	0.9948361253399999	0.9665932226200001	0.9942748112399996	0.9951454581799997	0.99504453214	0.9952780949200012	0.9951057809399995	0.9944283967800004	0.9944593525000007	0.9948093205200002	0.9955426803200006	0.9953755765799994	0.9940382882200001	0.9951945226399997	0.9933213876199993	0.9953810411200009	0.9946350819399999	0.9946729414400003	0.9952495991799998	0.9946838120000007	0.995377477420001	0.99397072506	0.9955332639999993	0.9946276239599999	0.9945840282599994	0.9950387695599997	0.99565501844	0.9940162117999999	0.9935970855200006	0.9944655480800003	0.9951733767799995	0.9936255230200001	0.9943230550199991	0.9954795591199993	0.9954598139199998	0.9952432595799997	0.9949382744599995	0.9947379764000006	0.9893064948000002	0.9949109628800001	0.9735886148199998	0.9953277124000002	0.9948825817800012	0.9949789747999992	0.99552413886	0.9911886962600005	0.9953892762999993	0.9952253477799996	0.9948373131000006	0.9953408590599997	0.9941361126200001
bos_Latn	0.9950430674799996	0.9961180396199989	0.9966287908200001	0.9966663693199999	0.9951140472800006		0.9955800523200002	0.9959454883199998	0.9963811900399997	0.9937925728599996	0.9960341077200005	0.9670538652600001	0.9953391439199986	0.9966922312800003	0.99656354158	0.9963354944399991	0.99627859068	0.9961395190200003	0.99664320514	0.9964179801400002	0.9953186368999997	0.9961872619799995	0.9940783020399991	0.99651695434	0.9941198444800006	0.9963363299799998	0.9952431214199996	0.9963930074600001	0.99619503334	0.9967932811399998	0.9965799911600007	0.9950539609600005	0.9966190462800002	0.9966611121599999	0.9950922256199998	0.9963179541999987	0.9965439684399995	0.9951824388200001	0.9956798814199995	0.9963110659400001	0.9963313696000013	0.9954199738399995	0.9962459366400005	0.99667264852	0.9963561963199998	0.9965691386600003	0.9959375025200002	0.9962852836200009	0.9886617014400001	0.9959409986199999	0.9737968098999991	0.9963157917800002	0.9961171392000004	0.9959242112399994	0.9959824684999995	0.9922777245000007	0.99699542126	0.9965399595200007	0.9959414666799992	0.9960215550600002	0.9962305868400001
bul_Cyrl	0.9946339505199988	0.9946245196999993	0.9947994994799993	0.9949383885200006	0.9945158881600006	0.9955800523200002		0.9946206217799991	0.9955347002400001	0.99351621958	0.9952045808800005	0.9675755508000008	0.9946456306199998	0.9955008808199998	0.9953341625600007	0.9954146839999994	0.9953844108799988	0.9951463602000002	0.99518755976	0.9948269725800005	0.9953218861200004	0.9947957750399999	0.9946360509400001	0.9958078112399997	0.9936948306400003	0.9954774030200003	0.99481104714	0.9949372517799995	0.9950015329999998	0.9948795730200001	0.9953438952399991	0.9929694581	0.9958734304200004	0.9954067600200003	0.9941784509399992	0.9951465839999996	0.9954299683799998	0.9944677783799993	0.9933342996400014	0.9947060511999991	0.9955247452400002	0.9936962296399994	0.9950219417600008	0.9955202325599999	0.995947192779999	0.9955644457799998	0.9957072174399999	0.9945360803999997	0.9890372741199999	0.9950157739599996	0.9739923580199996	0.9956499134199995	0.9946081085000005	0.9948938788799999	0.9955013230200007	0.9917064193199998	0.9956769130599992	0.99549331168	0.9950010662799985	0.9952827682199997	0.9940315250000001
ceb_Latn	0.99433066238	0.9954336428799997	0.9954838780799988	0.9956736485000017	0.9949917976399999	0.9959454883199998	0.9946206217799991		0.995221947060001	0.9929663531599997	0.9947691788800002	0.9667500895199997	0.9944572643999994	0.9955544376600006	0.9955015997799997	0.9955496306000006	0.9953750491400006	0.9948174292599998	0.9952902632599995	0.99537437222	0.9952117682	0.9957087876600005	0.9934968379199994	0.9952481655599993	0.9932178586599995	0.9955059885199986	0.9947224114800004	0.9954067320400004	0.9953953959599988	0.9956107217200002	0.9956866041599995	0.9946435348799995	0.9956750152599999	0.9953405037599995	0.9949454160400001	0.9956307582400002	0.9958095563799992	0.9942180108800004	0.99485684936	0.9951117108199992	0.9956626496000001	0.9946635266799999	0.9948683519000001	0.9957421633600003	0.9953989634000006	0.9956934560399994	0.9947913343199988	0.9953869261000003	0.9887716056199999	0.9952377774599993	0.9726722431799995	0.9953755071600001	0.9954234180400002	0.9953928543799999	0.9954685174399992	0.9911321527999998	0.9960362501199995	0.9955378616800001	0.9951979983000004	0.9954623285399998	0.9951641949600002
ces_Latn	0.9948148436199996	0.9954409650199993	0.9958027167800002	0.9960575935999996	0.9949789491399993	0.9963811900399997	0.9955347002400001	0.995221947060001		0.99378251676	0.99572364984	0.9670359602399998	0.99515140586	0.9963103722800005	0.9962835089599996	0.9961368840199999	0.9960449183000003	0.9957537060999998	0.9958650216999996	0.9958216986800001	0.9955630438000005	0.9957722518400004	0.994204719760001	0.9961389865399999	0.9941134925000004	0.9960612670600001	0.9952055285800006	0.9958615693399994	0.9956433260399997	0.9959494910000002	0.9961498379599996	0.9941070161799989	0.9965353882599993	0.9960261663200005	0.9949634997200005	0.9958231442200001	0.9962171719800003	0.9950621592999991	0.9945260287800001	0.9955547962000012	0.9961677061199995	0.9945230520399999	0.9954713572600008	0.9962784686800008	0.9963106807400001	0.9962597965800001	0.9959586465999986	0.9955730117	0.9893994161399995	0.9957081106999999	0.9745763888200005	0.9959763634199996	0.9955531331999986	0.9954719548200008	0.9960989475000014	0.9921780332399998	0.9965821376399997	0.9963507382200001	0.9956351144599995	0.9959018090999996	0.9951986566400001
ckb_Arab	0.9932844696600002	0.9930967650799991	0.9933517582399997	0.9931333350799996	0.9934586638600001	0.9937925728599996	0.99351621958	0.9929663531599997	0.99378251676		0.9935342357799999	0.9672136944799999	0.9932920418799991	0.9939828133200005	0.9937252199799993	0.9938108598800001	0.9937381138600007	0.9934908542600007	0.99325189918	0.9932154209000004	0.9942136555200004	0.99356271916	0.9927624827399996	0.9941194362599995	0.9926971199600002	0.993932046119999	0.9933477802	0.993253481940001	0.9937378294999998	0.9930333612000001	0.9938033193399992	0.9917703040200013	0.9942209997999994	0.9934947227999991	0.9930422685600002	0.9935381095599994	0.9940900088999998	0.9931925702999997	0.99144379156	0.9930205211199987	0.9937677988200002	0.9916748404400003	0.99301794734	0.9937802511599995	0.9941932946599996	0.9938319710200003	0.9940871716400007	0.9929484994199994	0.9884766488199999	0.9935112532799989	0.9735897172599991	0.9940646223200006	0.9929999095599997	0.9933943517	0.9940573683600004	0.9906588476800006	0.9935446157200002	0.9936575429199996	0.9938272850600002	0.9937573138399995	0.9926771489199998
